"Var1","Freq","airport","city","state","country","lat","long","cluster"
"ABE",4511,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"3"
"ABI",2646,"Abilene Regional","Abilene","TX","USA",32.41132,-99.68189722,"1"
"ABQ",39152,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"2"
"ABY",1312,"Southwest Georgia Regional","Albany","GA","USA",31.535515,-84.19447333,"6"
"ACK",277,"Nantucket Memorial","Nantucket","MA","USA",41.25305194,-70.06018139,"3"
"ACT",2135,"Waco Regional","Waco","TX","USA",31.61128833,-97.23051917,"1"
"ACV",3679,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"5"
"ACY",728,"Atlantic City International","Atlantic City","NJ","USA",39.45758333,-74.57716667,"3"
"ADK",78,"Adak","Adak","AK","USA",51.87796389,-176.6460306,"8"
"ADQ",666,"Kodiak ","Kodiak","AK","USA",57.74996778,-152.4938553,"8"
"AEX",2892,"Alexandria International","Alexandria","LA","USA",31.32737167,-92.54855611,"1"
"AGS",2286,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"6"
"AKN",172,"King Salmon","King Salmon","AK","USA",58.67680167,-156.6492175,"8"
"ALB",13772,"Albany Cty","Albany","NY","USA",42.74811944,-73.80297861,"3"
"AMA",6962,"Amarillo International","Amarillo","TX","USA",35.2193725,-101.7059272,"1"
"ANC",19002,"Ted Stevens Anchorage International","Anchorage","AK","USA",61.17432028,-149.9961856,"8"
"APF",555,"Naples Municipal","Naples","FL","USA",26.15247222,-81.77544444,"6"
"ASE",4936,"Aspen-Pitkin Co/Sardy ","Aspen","CO","USA",39.22316,-106.868845,"2"
"ATL",409008,"William B Hartsfield-Atlanta Intl","Atlanta","GA","USA",33.64044444,-84.42694444,"6"
"ATW",4261,"Outagamie County Regional","Appleton","WI","USA",44.25740806,-88.51947556,"4"
"AUS",47935,"Austin-Bergstrom International","Austin","TX","USA",30.19453278,-97.66987194,"1"
"AVL",2677,"Asheville Regional","Asheville","NC","USA",35.43619444,-82.54180556,"6"
"AVP",2085,"Wilkes-Barre/Scranton Intl","Wilkes-Barre/Scranton","PA","USA",41.33814944,-75.7242675,"3"
"AZO",3584,"Kalamazoo County","Kalamazoo","MI","USA",42.234875,-85.5520575,"10"
"BDL",30217,"Bradley International","Windsor Locks","CT","USA",41.93887417,-72.68322833,"3"
"BET",943,"Bethel","Bethel","AK","USA",60.77977639,-161.8379975,"8"
"BFL",5045,"Meadows ","Bakersfield","CA","USA",35.43359806,-119.0567681,"5"
"BGM",246,"Binghamton Regional","Binghamton","NY","USA",42.20848278,-75.97961361,"3"
