"Tag","Monat","Tote","Verletzte","Land"
4,1,13,25,"iraq"
4,1,1,1,"thailand"
5,1,6,30,"srilanka"
5,1,0,3,"philippines"
6,1,15,24,"srilanka"
6,1,1,3,"iraq"
6,1,3,4,"iraq"
7,1,2,11,"iraq"
10,1,7,27,"philippines"
10,1,5,10,"iraq"
10,1,2,2,"iraq"
13,1,2,3,"iraq"
14,1,1,6,"iraq"
14,1,4,5,"pakistan"
15,1,0,1,"myanmar"
15,1,0,2,"thailand"
16,1,70,170,"iraq"
16,1,6,11,"iraq"
17,1,9,43,"iraq"
17,1,2,12,"india"
17,1,17,33,"iraq"
17,1,0,2,"thailand"
18,1,0,2,"afghanistan"
18,1,4,10,"iraq"
18,1,1,1,"thailand"
22,1,131,186,"iraq"
26,1,1,5,"pakistan"
27,1,14,30,"pakistan"
29,1,3,0,"israel"
3,2,135,305,"iraq"
3,2,23,20,"afghanistan"
17,2,15,24,"pakistan"
19,2,68,49,"india"
1,3,0,10,"columbia"
3,3,5,0,"columbia"
5,3,2,0,"afghanistan"
6,3,114,147,"iraq"
16,3,16,16,"columbia"
27,3,152,347,"iraq"
28,3,0,10,"columbia"
8,4,1,0,"afghanistan"
9,4,1,30,"columbia"
10,4,4,23,"morocco"
11,4,33,222,"algeria"
12,4,8,20,"iraq"
14,4,65,100,"iraq"
14,4,1,3,"morocco"
18,4,200,251,"iraq"
18,4,3,0,"turkey"
20,4,1,0,"somalia"
25,4,11,0,"somalia"
28,4,28,35,"pakistan"
28,4,28,35,"iraq"
3,5,1,0,"cuba"
6,5,35,80,"iraq"
6,5,1,8,"israel"
12,5,1,14,"turkey"
13,5,50,115,"iraq"
15,5,24,25,"pakistan"
18,5,1,37,"philippines"
18,5,16,100,"india"
20,5,6,50,"peru"
22,5,9,121,"turkey"
3,6,7,20,"somalia"
4,6,1,0,"somalia"
8,6,1,28,"thailand"
8,6,2,5,"pakistan"
8,6,0,10,"philippines"
10,6,0,14,"turkey"
11,6,1,37,"kenya"
14,6,10,0,"lebanon"
19,6,75,204,"iraq"
24,6,6,2,"lebanon"
29,6,4,10,"ivorycoast"
29,6,0,5,"uk"
2,7,10,12,"yemen"
19,7,2,0,"afghanistan"
21,7,0,0,"pakistan"
14,8,0,60,"russia"
14,8,796,1562,"iraq"
25,8,44,54,"india"
4,9,21,74,"pakistan"
4,9,0,0,"germany"
4,9,0,0,"denmark"
6,9,0,0,"algeria"
29,9,0,12,"maledives"
1,10,15,22,"pakistan"
2,10,13,0,"afghanistan"
3,10,0,1,"iraq"
11,10,3,0,"somalia"
11,10,3,30,"india"
14,10,1,2,"netherlands"
14,10,6,20,"india"
18,10,136,387,"pakistan"
21,10,12,16,"turkey"
26,10,0,2,"usa"
31,10,8,50,"russia"
6,11,0,1,"haiti"
6,11,80,0,"afghanistan"
13,11,2,9,"philippines"
23,11,15,80,"india"
23,11,5,13,"russia"
1,12,2,0,"france"
6,12,1,0,"france"
11,12,37,177,"algeria"
12,12,2,0,"lebanon"
12,12,40,125,"iraq"
21,12,50,100,"pakistan"
24,12,0,0,"mauritania"
27,12,24,46,"pakistan"
