"id";"kap_id";"kapitel";"tab_id";"tabelle";"jahr";"raum_id";"raum";"zei_id";"zeile";"quelle";"linktabellenkommentar";"zahl"
"012.010.2006.000.010";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"000";"Stadt Köln";"10";"Fortzüge über die Stadtgrenze (Aussenfortzüge)";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"51161.00"
"012.010.2006.000.030";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"000";"Stadt Köln";"30";"Zuzüge über die Stadtgrenze (Aussenzuzüge)";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"51861.00"
"012.010.2006.000.050";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"000";"Stadt Köln";"50";"Umzüge innerhalb des Gebietes";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"84141.00"
"012.010.2006.001.010";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"001";"Innenstadt";"10";"Fortzüge über die Stadtgrenze (Aussenfortzüge)";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"9409.00"
"012.010.2006.001.020";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"001";"Innenstadt";"20";"Fortzüge innerhalb der Stadt (Binnenfortzüge)";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"7502.00"
"012.010.2006.001.030";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"001";"Innenstadt";"30";"Zuzüge über die Stadtgrenze (Aussenzuzüge)";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"10849.00"
"012.010.2006.001.040";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"001";"Innenstadt";"40";"Zuzüge innerhalb der Stadt (Binnenzuzüge)";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"5962.00"
"012.010.2006.001.050";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"001";"Innenstadt";"50";"Umzüge innerhalb des Gebietes";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"5767.00"
"012.010.2006.002.010";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"002";"Rodenkirchen";"10";"Fortzüge über die Stadtgrenze (Aussenfortzüge)";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"4951.00"
"012.010.2006.002.020";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"002";"Rodenkirchen";"20";"Fortzüge innerhalb der Stadt (Binnenfortzüge)";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"3216.00"
"012.010.2006.002.030";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"002";"Rodenkirchen";"30";"Zuzüge über die Stadtgrenze (Aussenzuzüge)";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"5511.00"
"012.010.2006.002.040";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"002";"Rodenkirchen";"40";"Zuzüge innerhalb der Stadt (Binnenzuzüge)";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"3539.00"
"012.010.2006.002.050";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"002";"Rodenkirchen";"50";"Umzüge innerhalb des Gebietes";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"4060.00"
"012.010.2006.003.010";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"003";"Lindenthal";"10";"Fortzüge über die Stadtgrenze (Aussenfortzüge)";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"8787.00"
"012.010.2006.003.020";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"003";"Lindenthal";"20";"Fortzüge innerhalb der Stadt (Binnenfortzüge)";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"4686.00"
"012.010.2006.003.030";"012";"Bevölkerungsbewegung";"010";"Aussen- und Binnenwanderung";"2006";"003";"Lindenthal";"30";"Zuzüge über die Stadtgrenze (Aussenzuzüge)";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"8478.00"
