"id";"kap_id";"kapitel";"tab_id";"tabelle";"jahr";"raum_id";"raum";"zei_id";"zeile";"quelle";"linktabellenkommentar";"zahl"
"015.010.2006.505.060";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"505";"Weidenpesch";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"228.00"
"015.010.2006.506.010";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"506";"Longerich";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"6517.00"
"015.010.2006.506.020";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"506";"Longerich";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"2593.00"
"015.010.2006.506.030";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"506";"Longerich";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"2097.00"
"015.010.2006.506.040";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"506";"Longerich";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"998.00"
"015.010.2006.506.050";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"506";"Longerich";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"590.00"
"015.010.2006.506.060";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"506";"Longerich";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"239.00"
"015.010.2006.507.010";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"507";"Bilderstöckchen";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"6784.00"
"015.010.2006.507.020";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"507";"Bilderstöckchen";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"2736.00"
"015.010.2006.507.030";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"507";"Bilderstöckchen";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1959.00"
"015.010.2006.507.040";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"507";"Bilderstöckchen";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"932.00"
"015.010.2006.507.050";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"507";"Bilderstöckchen";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"746.00"
"015.010.2006.507.060";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"507";"Bilderstöckchen";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"411.00"
"015.010.2006.601.010";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"601";"Merkenich";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"2502.00"
"015.010.2006.601.020";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"601";"Merkenich";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"821.00"
"015.010.2006.601.030";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"601";"Merkenich";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"827.00"
"015.010.2006.601.040";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"601";"Merkenich";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"430.00"
"015.010.2006.601.050";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"601";"Merkenich";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"290.00"
"015.010.2006.601.060";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"601";"Merkenich";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"134.00"
"015.010.2006.602.010";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"602";"Fühlingen";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"884.00"
"015.010.2006.602.020";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"602";"Fühlingen";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"273.00"
"015.010.2006.602.030";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"602";"Fühlingen";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"280.00"
"015.010.2006.602.040";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"602";"Fühlingen";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"148.00"
"015.010.2006.602.050";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"602";"Fühlingen";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"134.00"
"015.010.2006.602.060";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"602";"Fühlingen";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"49.00"
"015.010.2006.603.010";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"603";"Seeberg";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"4589.00"
"015.010.2006.603.020";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"603";"Seeberg";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1196.00"
"015.010.2006.603.030";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"603";"Seeberg";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1485.00"
"015.010.2006.603.040";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"603";"Seeberg";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"868.00"
"015.010.2006.603.050";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"603";"Seeberg";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"677.00"
